game,home,away
Game 1,Qatar,Ecuador
Game 2,England,IR Iran
Game 3,Senegal,Netherlands
Game 4,United States,Wales
Game 5,Argentina,Saudi Arabia
Game 6,Denmark,Tunisia
Game 7,Mexico,Poland
Game 8,France,Australia
Game 9,Morocco,Croatia
Game 10,Germany,Japan
Game 11,Spain,Costa Rica
Game 12,Belgium,Canada
Game 13,Switzerland,Cameroon
Game 14,Uruguay,Korea Republic
Game 15,Portugal,Ghana
Game 16,Brazil,Serbia
Game 17,Wales,IR Iran
Game 18,Qatar,Senegal
Game 19,Netherlands,Ecuador
Game 20,England,United States
Game 21,Tunisia,Australia
Game 22,Poland,Saudi Arabia
Game 23,France,Denmark
Game 24,Argentina,Mexico
Game 25,Japan,Costa Rica
Game 26,Belgium,Morocco
Game 27,Croatia,Canada
Game 28,Spain,Germany
Game 29,Cameroon,Serbia
Game 30,Korea Republic,Ghana
Game 31,Brazil,Switzerland
Game 32,Portugal,Uruguay
Game 33,Netherlands,Qatar
Game 34,Ecuador,Senegal
Game 35,IR Iran,United States
Game 36,Wales,England
Game 37,Tunisia,France
Game 38,Australia,Denmark
Game 39,Saudi Arabia,Mexico
Game 40,Poland,Argentina
Game 41,Canada,Morocco
Game 42,Croatia,Belgium
Game 43,Costa Rica,Germany
Game 44,Japan,Spain
Game 45,Ghana,Uruguay
Game 46,Korea Republic,Portugal
Game 47,Serbia,Switzerland
Game 48,Cameroon,Brazil
